Award ID,Current Status,Detailed Status,Grant Title,Grant Abstract,Estimated Funds Promised,Funds Obligated Before Disruption,Funds Spent Before Disruption,Funds Remaining Before Disruption,Earliest Disruption,Disruption Indicators,Latest Restoration,Restoration Indicator,Project Start Date,Project End Date (Original),Directorate,Division,Assistance Listing Code,Assistance Listing Title,Funding Opportunity Code,Grantee Organization,Grantee State,Grantee City,Grantee Congressional District,USAspending,NSF.gov
2218791,Disrupted,Terminated,Collaborative Research:  HNDS-I. Mobility Data for Communities (MD4C):  Using Cell-Phone Records to Study Societal Dynamics,"Cell phone location records, called mobility data (MD), are data about where people go.  These data are an essential resource to study how people move and interact in society. However, these data are also very complex, so very few scientists have the technical skills to work with them. There are also privacy or data ownership issues that require scientists to have permission to access them. For these reasons, policymakers, practitioners, and the people in the communities that the data describe do not use them despite their importance. This award supports the creation of Mobility Data for Communities (MD4C), an infrastructure project that converts MD into a series of useful measures that describe mobility across a region's neighborhoods and places within those neighborhoods. These measures are accessible to everyone, including researchers, policymakers, and practitioners.   
   
MD4C’s tools are designed to resolve biases in the measures that result from not having certain people (for example, the elderly or unhoused who use cell phones less frequently) or having too many other people (for example, younger professionals who use cell phones all day) in the datasets. Bias is measured and corrected by comparing MD to data from a survey of people who voluntarily share their mobility information. Once corrected, deep learning techniques can extract measurements of mobility patterns related to social equity: racial and socioeconomic segregation, economic development, and climate resilience. The MD4C platform makes these bias-adjusted mobility measurements accessible for researchers and others and makes new research possible across the social sciences.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",479321,479321,403334.68,75986.32,2026-08-28,research.gov API,N/A,N/A,2023-01-01,2026-12-31,"Social, Behavioral and Economic Sciences",Behavioral and Cognitive Sciences,47.075,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES",22-505,Northeastern University,MA,BOSTON,MA-07,https://www.usaspending.gov/award/ASST_NON_2218791_049/,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2218791
2222529,Disrupted,Terminated,Comparative Study of Demographic Variation in Judiciaries,"A judiciary in which the composition of courts reflects the makeup of the populace is vital on the grounds of fairness, nondiscrimination, justice, and legitimacy. An inclusive judiciary helps to inspire public trust, support, and confidence. Examining the demographic makeup of courts is key to understanding the mechanisms that facilitate a representative judiciary. This research project will collect data on and analyze the demographic variation in judges in eight countries. This study examines the trajectory, experiences, and obstacles of jurists with various demographic characteristics may encounter across countries and world regions. The broader impacts of this project will be to strengthen law and social science research collaborations at minority-serving institutions, and increase research opportunities for communities that are underrepresented in the sciences.

The goals and scope of this research are to examine the factors that contribute to a representative judiciary. The PIs will collect quantitative data on descriptive representation in eight countries. The data on descriptive representation in the judiciary will be made accessible to journalists, students, scholars, and policymakers. Using a mixed methods approach, the PIs will conduct interviews with judges with different demographic characteristics in the same eight countries. The PIs will use the quantitative and qualitative data to determine which aspects of demographic variation may be distinct to a country and those that may be shared across countries. This project will contribute to social science research by providing empirical data and evidence that contribute to our understanding of descriptive representation in judiciaries, the rule of law, and gender equality.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",700000,700000,296340.67,403659.33,2026-08-28,research.gov API,N/A,N/A,2022-10-01,2026-09-30,"Social, Behavioral and Economic Sciences",Social and Economic Sciences,47.075,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES",22-530,Howard University,DC,WASHINGTON,DC-00,https://www.usaspending.gov/award/ASST_NON_2222529_049/,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2222529
2234319,Disrupted,Terminated,SBP: Neurocognitive Mechanisms in the Perception of Race,"People routinely assign other people to categories, including race and gender. It happens quickly and almost automatically. Decades of theory and research in social psychology have helped to uncover how and why this common facet of social cognition occurs. Social categorization has important consequences, and often contributes to social bias including prejudice, discrimination, and societal inequities. As racial diversity in the United States increases, and the importance of race as an attribute by which people group themselves and others, it is especially important to understand the factors that determine how people perceive race. Some of the information that people use in perceiving race comes from physical characteristics of others, including skin tone, hair texture, and facial features. Other information is independent of the person being perceived, including historical and societal factors or qualities of the perceiver themselves. This project focuses on the role of facial features, and how attention paid very early in the processing of facial features helps to shape racial categorization of faces. It also considers how the social context influences attention to those facial features. The research extends understanding of how and when early attention to race is beneficial or harmful to downstream consequences of racial categorization, and informs potential interventions aimed at reducing negative consequences of race perception.

The attention to racial information in faces happens very early in the perceptual process, typically within 200 milliseconds of seeing a face. It is less clear how this early attention to race contributes to the way in which those faces are ultimately racially categorized. The studies in this project measure quickly occurring and distinct neurocognitive processes as racial categorization of faces unfolds. The studies consider two contributing factors to racial perception: physical features and social context. Past research has focused primarily on Black and White faces. This project expands on that to include Latinx faces. Not only is the Latinx population the fastest growing racial/ethnic group in the United States, the historical fluidity of racial categorization of Latinx people is unique. Inclusion of Latinx populations strengthens the opportunity to address the project’s aim of considering both phenotypicality and social context. It is clear from research that racial categorization of others results in bias, even among those who are motivated to be egalitarian in their behavior. Focusing on earlier, up-stream cognitive perceptual processes that may contribute to spontaneous racial categorization will help to identify mechanisms or interventions that can facilitate intentional control and ultimately mitigate the bias that results from social categorization. These issues are central to the science of broadening participation.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",326105,326105,240920.26,85184.73999999999,2026-08-28,research.gov API,N/A,N/A,2023-05-01,2027-04-30,"Social, Behavioral and Economic Sciences",Behavioral and Cognitive Sciences,47.075,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES",N/A,University of Texas at El Paso,TX,EL PASO,TX-16,https://www.usaspending.gov/award/ASST_NON_2234319_049/,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2234319
2235289,Disrupted,Terminated,REU Site: Social and Environmental Influences on Brain and Behavior,"This project is funded from the Research Experiences for Undergraduates (REU) Sites program in the Directorate for Social, Behavioral, and Economic Sciences (SBE). The goal of this REU Site is to create an undergraduate research fellowship program. One of the two major aims of this program is to improve the diversity of our scientists. To improve the education, training, and subsequent representation of diverse populations in psychology, we will provide students from underrepresented backgrounds with rigorous research training so that they are better prepared to pursue a future career in STEM. Our second major aim is to improve the diversity of our science. Unfortunately, in most published research, variation based on context, socio-economic status and race, for example, is difficult to study, as our samples are not representative of the general US population. Instead of controlling for variability based on socio-emotional context, in this proposal, we seek to study it directly in an attempt to find systematic relations between this variability and basic neural, cognitive, and social processes. Overall, it is our hope that this training program will not only create a more diverse next generation of scientists, but that it will also train current and future generations of researchers who are highly motivated and well-equipped to produce more diverse science.

The 1-year fellowship program will have three main components—a) rigorous hands-on research training, b) professional development, and c) community engagement. To gain hands-on research training, fellows will receive a stipend to work full-time in a Rutgers-Newark lab in the Psychology Department for the duration of the summer. To foster career professional development and enhance their research skills, fellows will also take part in a weekly, one-hour research seminar during the academic year. Finally, they will receive training in community engagement so that they can learn how to recruit a diverse and representative sample of human subjects for their own research, and how to disseminate their findings directly to those community members.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",418386,418386,151753.62,266632.38,2026-08-28,research.gov API,N/A,N/A,2024-01-01,2027-12-31,"Social, Behavioral and Economic Sciences",Multidisciplinary Activities,47.075,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES",22-601,Rutgers University Newark,NJ,NEWARK,NJ-10,https://www.usaspending.gov/award/ASST_NON_2235289_049/,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2235289
2237007,Disrupted,Terminated,CAREER: The Consequences of Efforts to Control Human Reproduction for Science and Medicine,"This CAREER project examines how historical efforts to control human reproduction shaped the ways scientists and medical communities understand reproductive health in contemporary times. In the 19th and early 20th Centuries, scientific and medical communities worked alongside the state to “improve” the nation’s hereditary pool, including through forced sterilization of marginalized populations. This project investigates how these endeavors influenced the developing medicine of reproduction in the late 20th Century and how it continues to influence scientific knowledge and reproductive health. The study enhances undergraduate science education by introducing students to lasting issues in reproductive health and inequality. The project produces a digital archive that advances public understanding of the history of medicine, science, and health inequalities. 

This project uses a combination of archival methods and interviews to understand how efforts to control genetics in the population affected scientific and medical understandings and current experiences with reproduction. The research includes content analysis of scientific articles on reproductive health published from 1950 to 2000 and archived correspondence with health providers and scientists. The project also collects and analyzes oral histories with 50 people about their experiences in reproductive health and creates a new public digital archive to house these histories. Addressing these research questions offers vital contributions to the social study of medicine, science and technology studies, and broader understandings of the social and historical factors that contribute to health inequalities.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",405585,328876,222828.55,182756.45,2026-08-28,research.gov API,N/A,N/A,2023-08-01,2028-07-31,"Social, Behavioral and Economic Sciences",Social and Economic Sciences,47.075,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES",22-586,Michigan State University,MI,EAST LANSING,MI-07,https://www.usaspending.gov/award/ASST_NON_2237007_049/,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2237007
2241535,Disrupted,Terminated,Collaborative Research: HNDS-R Networks and Health Disparities in Delays in Diagnosis of Medical Conditions with Ambiguous Symptoms,"Missed, delayed, or inaccurate medical diagnoses (i.e., diagnostic errors) are responsible for up to 80,000 hospital deaths in the United States annually. Some medical conditions are not easy to diagnose because symptoms are ambiguous or easy to confuse with other conditions, which contributes to diagnostic errors. This is especially the case for rare diseases with which physicians may not have much experience. This project examines whether marginalized status (e.g., racially and ethnically minoritized people and women) and the structure of patient-physician network ties are associated with delays in diagnosis of medical conditions with ambiguous symptoms. The findings from this project can lead to better healthcare interventions that could reduce health disparities related to diagnostic errors.

This project determines the social and structural predictors of delays in diagnosis of medical conditions with ambiguous symptoms. Drawing on theories from social psychology, this study hypothesizes that marginalized people are more likely to experience longer delays in diagnosis of diseases with ambiguous symptoms because the diagnostic process can be affected by racial, gender, and other stereotypes. Drawing on theories from network science, this study hypothesizes that patient-physician network structures that encourage exposure to non-redundant information (new possible diagnoses or tests to consider), together with physicians’ increased willingness to accept mistakes and correct misdiagnoses are associated with faster times to diagnoses of medical conditions with ambiguous symptoms. The project combines Longitudinal Medicaid Analytic eXtract (MAX) medical claims data with the American Medical Association (AMA) Physician Masterfile data to quantitatively test these hypotheses. Patient-physician networks are constructed through direct links between patients and physicians based on clinical encounters and indirect links between physicians through the patients they share. This project is important for understanding how social networks influence the patient-physician relationship and diagnostic processes, and for reducing the number of diagnostic errors in the U.S. healthcare system.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",176143,176143,134460.79,41682.20999999999,2026-08-28,research.gov API,N/A,N/A,2023-08-01,2027-07-31,"Social, Behavioral and Economic Sciences",Behavioral and Cognitive Sciences,47.075,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES",PD-98-1331,West Virginia University Research Corporation,WV,MORGANTOWN,WV-02,https://www.usaspending.gov/award/ASST_NON_2241535_049/,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2241535
2241536,Disrupted,Terminated,Collaborative Research: HNDS-R Networks and Health Disparities in Delays in Diagnosis of Medical Conditions with Ambiguous Symptoms,"Missed, delayed, or inaccurate medical diagnoses (i.e., diagnostic errors) are responsible for up to 80,000 hospital deaths in the United States annually. Some medical conditions are not easy to diagnose because symptoms are ambiguous or easy to confuse with other conditions, which contributes to diagnostic errors. This is especially the case for rare diseases with which physicians may not have much experience. This project examines whether marginalized status (e.g., racially and ethnically minoritized people and women) and the structure of patient-physician network ties are associated with delays in diagnosis of medical conditions with ambiguous symptoms. The findings from this project can lead to better healthcare interventions that could reduce health disparities related to diagnostic errors.

This project determines the social and structural predictors of delays in diagnosis of medical conditions with ambiguous symptoms. Drawing on theories from social psychology, this study hypothesizes that marginalized people are more likely to experience longer delays in diagnosis of diseases with ambiguous symptoms because the diagnostic process can be affected by racial, gender, and other stereotypes. Drawing on theories from network science, this study hypothesizes that patient-physician network structures that encourage exposure to non-redundant information (new possible diagnoses or tests to consider), together with physicians’ increased willingness to accept mistakes and correct misdiagnoses are associated with faster times to diagnoses of medical conditions with ambiguous symptoms. The project combines Longitudinal Medicaid Analytic eXtract (MAX) medical claims data with the American Medical Association (AMA) Physician Masterfile data to quantitatively test these hypotheses. Patient-physician networks are constructed through direct links between patients and physicians based on clinical encounters and indirect links between physicians through the patients they share. This project is important for understanding how social networks influence the patient-physician relationship and diagnostic processes, and for reducing the number of diagnostic errors in the U.S. healthcare system.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",179727,179727,152798.08,26928.920000000013,2026-08-28,research.gov API,N/A,N/A,2023-08-01,2027-07-31,"Social, Behavioral and Economic Sciences",Behavioral and Cognitive Sciences,47.075,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES",PD-98-1331,University of Arizona,AZ,TUCSON,AZ-07,https://www.usaspending.gov/award/ASST_NON_2241536_049/,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2241536
2307996,Disrupted,Terminated,"DISES : Through the Prism of Groundwater Pollution: The Interplay of Extreme Wet Events, Socio-Economic Well-Being, and Polity in Unincorporated Communities","Coastal unincorporated communities, those not formally organized under a local municipality, face multiple challenges, including contaminated underground water resources, due to legacy pollution and vulnerability to natural disasters. This research advances our understanding of the complex relationship between socioeconomic factors, water quality, and residents’ wellbeing by evaluating how factors like poverty, limited resources, and environmental hazards impact coastal unincorporated communities. The research combines social and environmental data to model potential risks, improve decision-making, and enhance the resilience of coastal unincorporated communities in the face of future challenges. The project emphasizes inclusivity by involving underrepresented minority students and residents from socio-economic disadvantaged and predominantly marginalized populations in water resource management and educational programs. This research contributes to scientific knowledge, helps address real-world issues, and empowers communities to make informed choices about their water resources.

This research project addresses the challenges faced by unincorporated coastal communities in the northwestern Gulf of Mexico, particularly those vulnerable to natural and human-made hazards. These communities are at a higher risk of groundwater contamination due to their socio-economic and polity attributes, such as proximity to landfills, abandoned oil wells, and inadequate infrastructure. The project uses a community-level approach to understand the interplay between socioeconomics, aquifer recharge areas, groundwater contamination, and wellness. The project supports a transdisciplinary consortium of researchers at a Hispanic-Serving Institution. The research advances our understanding of how extreme events impact coastal zone processes, groundwater recharge, and water chemistry, using the continuous input of contaminants into groundwater as a natural tracer experiment. This research: (a) substantiates conceptual information on the extreme wet event-induced aquifer recharge and contamination of groundwater in the context of socio-economic attributes; and (b) advances our knowledge and understanding of communities with variable levels of political, economic, and cultural capital, often excluded from scientific inquiry and collective decision-making processes. This research contributes to the science of Coupled Human and Natural Systems and transforms the way environmental and socioeconomic evaluations are performed in unincorporated, groundwater-dependent communities. The resultant model integrates groundwater recharge and quality with residents’ wellbeing, socioeconomic information, hydro-climatic conditions, and land use providing future scenarios for resiliency planning and management. The project provides cross-disciplinary education and training opportunities for underrepresented minority students at Hispanic-Serving Institutions and actively engages local disadvantaged communities in water resource governance through workshops and K-12 educational programs. The resultant model, informed by stakeholder and policymaker involvement, enhances decision-support tools, and promotes environmental justice and equitable resource management.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",1599931,1599931,948982.11,650948.89,2026-08-28,research.gov API,N/A,N/A,2023-09-01,2027-08-31,"Social, Behavioral and Economic Sciences",Behavioral and Cognitive Sciences,47.075,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES",20-579,Texas A&M University Corpus Christi,TX,CORPUS CHRISTI,TX-27,https://www.usaspending.gov/award/ASST_NON_2307996_049/,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2307996
2319234,Disrupted,Terminated,Understanding the conditions and content of face learning underlying race perception biases,"People are bad at recognizing faces when they belong to people from another race, tending instead to group them together (“they all look alike to me”), in what is known as the other-race effect. Such racial biases in face perception play a role in a number of problems in society. For example, more than a third of wrongful convictions involve misidentification of suspects for another race, and implicit racial biases that have been linked to the other-race effect lead to discrimination in the legal, medical, and educational systems. The evidence clearly shows that we learn the other-race effect from experience with some faces but not others, but scientists don’t know how that learning happens and its effects in perception. 

This project’s goal is to understand what types of experiences lead to development of the other-race effect, and how those experiences modify how we perceive faces. We approach this goal by testing people using computer-generated faces and races, including new artificial races. Generating faces this way allows us to precisely control all their relevant features (for example, shape of the eyes, nose, etc.) and the experience people have with them. We also measure people’s face perception with high precision and use mathematical modeling to formalize our hypotheses. Knowledge gained from this project leads to a better understanding and measurement of the other-race effect, setting the stage for the development of training procedures to eliminate it.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",503000,503000,371484.34,131515.65999999997,2026-08-28,research.gov API,N/A,N/A,2023-08-15,2026-07-31,"Social, Behavioral and Economic Sciences",Behavioral and Cognitive Sciences,47.075,"SOCIAL, BEHAVIORAL, AND ECONOMIC SCIENCES",PD-09-7252,Florida International University,FL,MIAMI,FL-26,https://www.usaspending.gov/award/ASST_NON_2319234_049/,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2319234
2340238,Disrupted,Terminated,CAREER: Contextual Influences on Faculty Pedagogies and Their Impact on Student Learning,"Recent scholarship has examined the ways engineers, both in our working processes as well as in the new technologies we produce, can reify and exacerbate systemic inequities in American society. As a result, scholars have called on engineering educators to develop pedagogies for catalyzing students’ sociotechnical design thinking competencies in engineering design education that develop students’ competencies for understanding and mitigating the role of engineering in systemic inequities. However, several contextual factors, such as institutional support for reform, the social and cultural context of the institution, and state and local legislation barring faculty from teaching about “divisive issues” like race/racism, gender/sexism, and issues facing LGBTQIA+ people, can support, or inhibit, reforms aimed at sociotechnical engineering design education. Thus, the purpose of this project is to examine the contextual influences on faculty pedagogical decision making related to sociotechnical design thinking, teaching, and learning, as well as how contextual supports and barriers impact student learning. This project will develop communities of practice within and between higher education institutions to better understand how faculty have responded to context-sensitive barriers, as well as leveraged context-specific supports, to develop and implement design pedagogies for fostering engineering students’ sociotechnical design repertoires.This project’s integrated research, education, and dissemination plan will foster change in the ways engineering design education is delivered by supporting knowledge sharing and innovation within institutions, as well as capacity building across institutions, for engineering design educators.

Guided by the Academic Plan Model, which posits a set of sociopolitical factors internal (e.g., institutional mission, faculty governance, student characteristics) and external (e.g., local, state, and federal government, accreditation bodies) to the institution, this research will employ a multi-method research design to examine the influences on faculty pedagogical decisions in engineering design education, as well as how those decisions shape students’ learning and resistance in sociotechnical design learning activities. This work is guided by the following research questions: (1) How do contextual influences, such as sociopolitical restrictions, shape the pedagogical strategies engineering design faculty adopt to teach students about addressing social inequalities in engineering design processes? (2) What educational activities catalyze students’ sociotechnical design repertoires in engineering design contexts? (3) How is student resistance to sociotechnical engineering design manifested in engineering design education, and what context-specific strategies can faculty adopt to mitigate student resistance? To answer these questions, this project will employ a variety of research methods, including interview and focus group data collection to understand faculty pedagogical decision making, ethnographic methods to understand student learning in sociotechnical engineering design education, and survey data collection to examine student resistance across contexts, to achieve three broad objectives. In Objective 1 this project will convene faculty across institutional contexts for one-on-one, in-depth interviews, as well as group pedagogical reviews designed to facilitate knowledge sharing and pedagogical ideation and innovation. In Objective 2 will entail an ethnographic research study examining students’ engagement in sociotechnical design learning activities across contexts. Finally, in Objective 3, to build capacity internally within and across institutions for sociotechnical design education, this project will develop a Sociotechnical Design Institute for training engineering design faculty, as well as a Sociotechnical Design Toolkit with online resources for engineering design faculty (e.g., readings, classroom activities, assignment prompts), design researchers (e.g., surveys, observations protocols), and industry professionals (e.g., design review rubrics). Findings from this project will foster knowledge sharing, as well as pedagogical innovation, in engineering design education nationally.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",649911,244294,190182.81,459728.19,2026-08-28,research.gov API,N/A,N/A,2024-08-01,2030-07-31,Engineering,Engineering Education and Centers,47.041,ENGINEERING,22-586,Tufts University,MA,MEDFORD,MA-05,https://www.usaspending.gov/award/ASST_NON_2340238_049/,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2340238
